external_gene_name	ensembl_gene_id
PRKCA	ENSG00000154229
FRK	ENSG00000111816
PPM1L	ENSG00000163590
PPP2CB	ENSG00000104695
MAP3K4	ENSG00000085511
MAP4K5	ENSG00000012983
PHKG2	ENSG00000156873
TEK	ENSG00000120156
CDK5	ENSG00000164885
CCNA2	ENSG00000145386
BCKDK	ENSG00000103507
LRRK1	ENSG00000154237
AXL	ENSG00000167601
SCYL3	ENSG00000000457
CSNK1E	ENSG00000213923
MAGI2	ENSG00000187391
IGF1R	ENSG00000140443
CSN1S1	ENSG00000126545
MAP2K3	ENSG00000034152
NEK11	ENSG00000114670
PHYHIP	ENSG00000168490
PPP3CB	ENSG00000107758
TP53RK	ENSG00000172315
STK25	ENSG00000115694
RALA	ENSG00000006451
FLT1	ENSG00000102755
MAPK10	ENSG00000109339
AKT1	ENSG00000142208
IKBKB	ENSG00000104365
PCK1	ENSG00000124253
PHPT1	ENSG00000054148
TAOK2	ENSG00000149930
CDK20	ENSG00000156345
TNIK	ENSG00000154310
DCLK1	ENSG00000133083
LATS1	ENSG00000131023
SSH2	ENSG00000141298
PPP4C	ENSG00000149923
ENPP3	ENSG00000154269
PTP4A3	ENSG00000184489
BUB1B	ENSG00000156970
MAPK3	ENSG00000102882
PRKACG	ENSG00000165059
PTPN14	ENSG00000152104
NEK2	ENSG00000117650
ULK2	ENSG00000083290
SHB	ENSG00000107338
MAP3K13	ENSG00000073803
PTPRT	ENSG00000196090
SPHK2	ENSG00000063176
KSR2	ENSG00000171435
EPM2A	ENSG00000112425
RET	ENSG00000165731
ATR	ENSG00000175054
PRKD3	ENSG00000115825
WNK3	ENSG00000196632
PPP2R5A	ENSG00000066027
MAK	ENSG00000111837
PPP1CA	ENSG00000172531
RPS6KB2	ENSG00000175634
CAMKK2	ENSG00000110931
CAMK1G	ENSG00000008118
PRKD1	ENSG00000184304
PIK3CB	ENSG00000051382
DSTYK	ENSG00000133059
NEK7	ENSG00000151414
LIMK2	ENSG00000182541
TRPM7	ENSG00000092439
CDK12	ENSG00000167258
CDK14	ENSG00000058091
CSNK1G2	ENSG00000133275
MET	ENSG00000105976
SCYL2	ENSG00000136021
BMPR1A	ENSG00000107779
EPHB3	ENSG00000182580
PIM2	ENSG00000102096
ALPK3	ENSG00000136383
CILK1	ENSG00000112144
SSH1	ENSG00000084112
MAPKAPK5	ENSG00000089022
CSNK1G1	ENSG00000169118
PDK1	ENSG00000152256
CAMK1D	ENSG00000183049
PPP6C	ENSG00000119414
MAPK9	ENSG00000050748
HSPA5	ENSG00000044574
PDK3	ENSG00000067992
STK4	ENSG00000101109
MAP2K7	ENSG00000076984
PASK	ENSG00000115687
TAOK3	ENSG00000135090
LIMK1	ENSG00000106683
PRKCQ	ENSG00000065675
MAP3K21	ENSG00000143674
CDC7	ENSG00000097046
AURKB	ENSG00000178999
MYT1	ENSG00000196132
PINK1	ENSG00000158828
RPS6KA3	ENSG00000177189
PLK1	ENSG00000166851
STK16	ENSG00000115661
MAP2K4	ENSG00000065559
PKN3	ENSG00000160447
BMPR1B	ENSG00000138696
BTK	ENSG00000010671
PDPK1	ENSG00000140992
ELOC	ENSG00000154582
CLK2	ENSG00000176444
CDC25C	ENSG00000158402
GRK4	ENSG00000125388
EPHB4	ENSG00000196411
TESK2	ENSG00000070759
CSNK2B	ENSG00000204435
IKBKG	ENSG00000269335
MAPK8	ENSG00000107643
WEE1	ENSG00000166483
KDR	ENSG00000128052
CDK7	ENSG00000134058
PPM1G	ENSG00000115241
NRBP1	ENSG00000115216
CDK10	ENSG00000185324
RAD17	ENSG00000152942
CDK16	ENSG00000102225
NINL	ENSG00000101004
CDK4	ENSG00000135446
EPHA5	ENSG00000145242
ACVR2A	ENSG00000121989
BMP2K	ENSG00000138756
MAPK7	ENSG00000166484
GSK3A	ENSG00000105723
ROS1	ENSG00000047936
PTPRK	ENSG00000152894
CASK	ENSG00000147044
PKD2	ENSG00000118762
PLK2	ENSG00000145632
BLK	ENSG00000136573
DYRK2	ENSG00000127334
CERT1	ENSG00000113163
ILK	ENSG00000166333
TFG	ENSG00000114354
VRK2	ENSG00000028116
PTK2	ENSG00000169398
PRKD2	ENSG00000105287
RIPK1	ENSG00000137275
MAP4K1	ENSG00000104814
MAPK13	ENSG00000156711
ACVR2B	ENSG00000114739
NME2	ENSG00000243678
LTK	ENSG00000062524
BRD4	ENSG00000141867
JMJD6	ENSG00000070495
PRPF4	ENSG00000136875
TYRO3	ENSG00000092445
RIPK2	ENSG00000104312
PRKCH	ENSG00000027075
RPS6KA6	ENSG00000072133
PIK3R4	ENSG00000196455
PRKDC	ENSG00000253729
NME1	ENSG00000239672
EPHA1	ENSG00000146904
RHEBL1	ENSG00000167550
NPR2	ENSG00000159899
PRKG2	ENSG00000138669
IRAK1	ENSG00000184216
WNK2	ENSG00000165238
FGFR4	ENSG00000160867
FES	ENSG00000182511
NEK8	ENSG00000160602
PTPN6	ENSG00000111679
PFKFB3	ENSG00000170525
KIT	ENSG00000157404
PBK	ENSG00000168078
CLK4	ENSG00000113240
NEK1	ENSG00000137601
SLK	ENSG00000065613
CAMK1	ENSG00000134072
MAP3K3	ENSG00000198909
PTPN12	ENSG00000127947
MARK2	ENSG00000072518
MUSK	ENSG00000030304
FER	ENSG00000151422
CSNK2A2	ENSG00000070770
CCND2	ENSG00000118971
NTRK2	ENSG00000148053
GTF2F1	ENSG00000125651
PGK1	ENSG00000102144
GCK	ENSG00000106633
PFKP	ENSG00000067057
PTPRD	ENSG00000153707
GRK2	ENSG00000173020
EPHA7	ENSG00000135333
DUSP1	ENSG00000120129
PPP2R5C	ENSG00000078304
SSH3	ENSG00000172830
PI4K2A	ENSG00000155252
PLK3	ENSG00000173846
CDK1	ENSG00000170312
EPHA8	ENSG00000070886
PRPF4B	ENSG00000112739
MINK1	ENSG00000141503
MKNK2	ENSG00000099875
FGFR1	ENSG00000077782
PAK2	ENSG00000180370
INSRR	ENSG00000027644
BAZ1B	ENSG00000009954
SIK3	ENSG00000160584
APOE	ENSG00000130203
PRKCG	ENSG00000126583
PRKAA1	ENSG00000132356
STK36	ENSG00000163482
MAP3K1	ENSG00000095015
CDKL3	ENSG00000006837
CLK3	ENSG00000179335
GSK3B	ENSG00000082701
CCNB1	ENSG00000134057
CSK	ENSG00000103653
CSNK1G3	ENSG00000151292
ITK	ENSG00000113263
ERBB2	ENSG00000141736
GAK	ENSG00000178950
DDR1	ENSG00000204580
FASTK	ENSG00000164896
MAP3K14	ENSG00000006062
THAP12	ENSG00000137492
CDC42BPB	ENSG00000198752
NEK6	ENSG00000119408
MAP2K1	ENSG00000169032
DMPK	ENSG00000104936
ERN1	ENSG00000178607
PIK3R1	ENSG00000145675
SDK1	ENSG00000146555
PAK3	ENSG00000077264
SGK1	ENSG00000118515
TEC	ENSG00000135605
TXK	ENSG00000074966
TGFBR1	ENSG00000106799
DUSP4	ENSG00000120875
ACVRL1	ENSG00000139567
PTPA	ENSG00000119383
PHKG1	ENSG00000164776
ACVR1B	ENSG00000135503
PHLPP2	ENSG00000040199
BUB1	ENSG00000169679
MKNK1	ENSG00000079277
VRK1	ENSG00000100749
FGFR2	ENSG00000066468
MAPK6	ENSG00000069956
TBP	ENSG00000112592
AGER	ENSG00000204305
CDK11A	ENSG00000008128
PRKCB	ENSG00000166501
PXK	ENSG00000168297
EIF2AK2	ENSG00000055332
MAPKAPK2	ENSG00000162889
IL6ST	ENSG00000134352
DAPK3	ENSG00000167657
PIAS4	ENSG00000105229
MAP2K2	ENSG00000126934
CHEK1	ENSG00000149554
PTEN	ENSG00000171862
CAMK2A	ENSG00000070808
PDK4	ENSG00000004799
AATK	ENSG00000181409
PEG3	ENSG00000198300
TSSK3	ENSG00000162526
MARK1	ENSG00000116141
PRKAB1	ENSG00000111725
CIT	ENSG00000122966
CAMK2G	ENSG00000148660
CDK15	ENSG00000138395
PKM	ENSG00000067225
PIK3C2A	ENSG00000011405
STK11	ENSG00000118046
PLK4	ENSG00000142731
PDK2	ENSG00000005882
AURKC	ENSG00000105146
MARK4	ENSG00000007047
DAPK2	ENSG00000035664
PAK6	ENSG00000137843
TLK2	ENSG00000146872
PTPRB	ENSG00000127329
MAP3K11	ENSG00000173327
PIK3CA	ENSG00000121879
SMG1	ENSG00000157106
ABL1	ENSG00000097007
PIK3CG	ENSG00000105851
CDC25A	ENSG00000164045
EPHB2	ENSG00000133216
CDK11B	ENSG00000248333
PPP2CA	ENSG00000113575
EGFR	ENSG00000146648
TBK1	ENSG00000183735
FLT4	ENSG00000037280
CAMK2B	ENSG00000058404
SCYL1	ENSG00000142186
FGR	ENSG00000000938
ULK1	ENSG00000177169
TTBK2	ENSG00000128881
PIM1	ENSG00000137193
CDK13	ENSG00000065883
CTDNEP1	ENSG00000175826
CDC14B	ENSG00000081377
PTPN9	ENSG00000169410
TSSK1B	ENSG00000212122
LRRK2	ENSG00000188906
EEF2K	ENSG00000103319
CSNK1A1	ENSG00000113712
SRPK1	ENSG00000096063
DUSP22	ENSG00000112679
ACVR1	ENSG00000115170
PAK4	ENSG00000130669
PPP1CC	ENSG00000186298
AKT3	ENSG00000117020
GTF2H1	ENSG00000110768
PIK3R5	ENSG00000141506
SIK2	ENSG00000170145
CAMK2D	ENSG00000145349
PTPN5	ENSG00000110786
STK19	ENSG00000204344
ATM	ENSG00000149311
EPHB1	ENSG00000154928
JAK3	ENSG00000105639
DCAF1	ENSG00000145041
TNK1	ENSG00000174292
EIF2AK3	ENSG00000172071
GRK7	ENSG00000114124
MAP3K5	ENSG00000197442
TNF	ENSG00000232810
FGFR3	ENSG00000068078
PPP5C	ENSG00000011485
TNNI3K	ENSG00000116783
IRAK3	ENSG00000090376
BRAF	ENSG00000157764
TRIB2	ENSG00000071575
NTRK3	ENSG00000140538
MAP3K2	ENSG00000169967
NUAK1	ENSG00000074590
SRPK2	ENSG00000135250
WNK1	ENSG00000060237
STK33	ENSG00000130413
PPM1D	ENSG00000170836
PRKAR2B	ENSG00000005249
MAP3K7	ENSG00000135341
PRKACA	ENSG00000072062
TYK2	ENSG00000105397
MYLK	ENSG00000065534
MAST1	ENSG00000105613
ROBO1	ENSG00000169855
CDK2	ENSG00000123374
TTBK1	ENSG00000146216
ERBB3	ENSG00000065361
BMPR2	ENSG00000204217
MAP4K3	ENSG00000011566
CLK1	ENSG00000013441
MST1	ENSG00000173531
MAP3K10	ENSG00000130758
AKT2	ENSG00000105221
MAP3K12	ENSG00000139625
PKD1	ENSG00000008710
CDK3	ENSG00000250506
KSR1	ENSG00000141068
CDK18	ENSG00000117266
SNRK	ENSG00000163788
RPAP2	ENSG00000122484
MAPK14	ENSG00000112062
ZRANB2	ENSG00000132485
MST1R	ENSG00000164078
FYN	ENSG00000010810
SSU72	ENSG00000160075
PDPK2P	ENSG00000205918
RSKR	ENSG00000167524
MYT1L	ENSG00000186487
KRAS	ENSG00000133703
PTPN11	ENSG00000179295
DYRK3	ENSG00000143479
TTN	ENSG00000155657
MAST3	ENSG00000099308
HASPIN	ENSG00000177602
MRE11	ENSG00000020922
NR2C2	ENSG00000177463
IKBKE	ENSG00000263528
PPM1E	ENSG00000175175
PTPRJ	ENSG00000149177
STK40	ENSG00000196182
CAD	ENSG00000084774
PTPN7	ENSG00000143851
PRKCD	ENSG00000163932
SHC1	ENSG00000160691
MAP3K19	ENSG00000176601
ROBO3	ENSG00000154134
HIPK3	ENSG00000110422
DYRK1B	ENSG00000105204
ROR1	ENSG00000185483
EPHA6	ENSG00000080224
CTDSP1	ENSG00000144579
DYRK4	ENSG00000010219
NUDC	ENSG00000090273
TNK2	ENSG00000061938
IRAK4	ENSG00000198001
PRKACB	ENSG00000142875
RAF1	ENSG00000132155
MAST2	ENSG00000086015
PRKAA2	ENSG00000162409
NEK4	ENSG00000114904
HRAS	ENSG00000174775
DUSP3	ENSG00000108861
STK39	ENSG00000198648
CDC42BPA	ENSG00000143776
ROCK2	ENSG00000134318
EPHA4	ENSG00000116106
NLK	ENSG00000087095
ROBO2	ENSG00000185008
MERTK	ENSG00000153208
PRKAR2A	ENSG00000114302
TAOK1	ENSG00000160551
PRKCI	ENSG00000163558
PRKCZ	ENSG00000067606
ZAP70	ENSG00000115085
CSNK1D	ENSG00000141551
MAP4K4	ENSG00000071054
UHMK1	ENSG00000152332
DDR2	ENSG00000162733
PPP1CB	ENSG00000213639
LCK	ENSG00000182866
PTPN22	ENSG00000134242
HIPK1	ENSG00000163349
PTPRC	ENSG00000081237
RORC	ENSG00000143365
ACP1	ENSG00000143727
MAP3K6	ENSG00000142733
ERBB4	ENSG00000178568
PIK3CD	ENSG00000171608
JAK1	ENSG00000162434
FCGR3A	ENSG00000203747
NUAK2	ENSG00000163545
AAK1	ENSG00000115977
MTOR	ENSG00000198793
RPS6KA1	ENSG00000117676
ABL2	ENSG00000143322
NTRK1	ENSG00000198400
